# Truth table
# Exported on Mon Jun 03 21:20:52 EEST 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

opc3 opc2 opc1 opc0 sc3 sc2 sc1 sc0 | OE_PC CE_PC WE_RAM OE_RAM WE_MBR IOE_MBR OE_MBR WE_IR OE_IR WE_MAR OE_MAR OE_ALU WE_RA OE_RA WE_RB OE_RB WE_OR OE_OR WE_ADDR0 OE_ADDR0 WE_ADDR1 OE_ADDR1 WE_VR OE_VR DONE_SC CLK_OFF
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 0    0    0    0    0   0   0   0  |   1     0     0      0      0       0      0      0     0     1      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    0   0   0   1  |   0     1     0      1      1       0      0      0     0     0      1      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    0   0   1   0  |   0     0     0      0      0       1      0      1     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    0   0   1   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       1   
 0    0    0    0    0   1   0   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      1       0   
 0    0    0    0    0   1   0   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    0   1   1   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    0   1   1   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   0   0   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   0   0   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   0   1   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   0   1   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   1   0   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   1   0   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   1   1   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    0    1   1   1   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   0   0   0  |   1     0     0      0      0       0      0      0     0     1      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   0   0   1  |   0     1     0      1      1       0      0      0     0     0      1      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   0   1   0  |   0     0     0      0      0       1      0      1     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   0   1   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     1     1     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   1   0   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      1       0   
 0    0    0    1    0   1   0   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   1   1   0  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
 0    0    0    1    0   1   1   1  |   0     0     0      0      0       0      0      0     0     0      0      0      0     0     0     0     0     0      0        0        0        0       0     0      0       0   
